Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency,Transaction Description
2023-09-20 16:26:22.828000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,556.75,,,
2023-09-20 16:26:35.618000,fees,Trading Fee,US0231351067,Amazon.com,,EUR,,,-0.99,,,,169.1,,,Order Id: 55d0e5c9-b0a6-466a-b6fc-616453c60678
2023-09-20 16:26:35.618000,trades,Buy Trade,US0231351067,Amazon.com,USD,EUR,EURUSD,1.06901,-386.66,413.34,137.78,3.0,170.09,,,Order Partial Id: 55d0e5c9-b0a6-466a-b6fc-616453c60678 - 1
2023-09-20 16:26:35.657000,trades,Buy Trade,US0231351067,Amazon.com,USD,EUR,EURUSD,1.06901,-128.88,137.78,137.78,1.0,40.22,,,Order Partial Id: 55d0e5c9-b0a6-466a-b6fc-616453c60678 - 2
2023-09-20 16:26:35.658000,trades,Buy Trade,US0231351067,Amazon.com,USD,EUR,EURUSD,1.06901,-40.22,42.9928712,137.78,0.31204,0.0,,,Order Partial Id: 55d0e5c9-b0a6-466a-b6fc-616453c60678 - 3
2023-10-05 09:01:20.085000,interest,Interest Payment,,,,EUR,,,0.08,,,,0.08,,,Period: 2023 M10
2023-10-20 15:04:20.662000,deposits,Sepa Deposit,,,,EUR,,,1000.0,,,,1000.08,,,
2023-10-20 15:04:20.676000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,997.09,,,Period: 2023-09
2023-10-20 15:04:36.919000,trades,Buy Trade,NL0010773842,NN Group,EUR,EUR,EUREUR,1.0,-482.4,482.4,30.15,16.0,514.69,,,Order Partial Id: d979b0ee-27cc-4d9d-85f2-2a2f64282955 - 1
2023-10-20 15:04:36.920000,fees,Trading Fee,NL0010773842,NN Group,,EUR,,,-1.99,,,,512.7,,,Order Id: d979b0ee-27cc-4d9d-85f2-2a2f64282955
2023-10-20 15:04:36.976000,trades,Buy Trade,NL0010773842,NN Group,EUR,EUR,EUREUR,1.0,-17.6,17.59997205,30.15,0.583747,495.1,,,Order Partial Id: d979b0ee-27cc-4d9d-85f2-2a2f64282955 - 2
2023-10-20 15:06:08.931000,fees,Trading Fee,IE00B3XXRP09,Vanguard S&P 500,,EUR,,,-1.99,,,,34.89,,,Order Id: 2fd72117-03c3-43ac-98c3-11ced8f53e1f
2023-10-20 15:06:08.931000,trades,Buy Trade,IE00B3XXRP09,Vanguard S&P 500,EUR,EUR,EUREUR,1.0,-458.22,458.22,76.37,6.0,36.88,,,Order Partial Id: 2fd72117-03c3-43ac-98c3-11ced8f53e1f - 1
2023-10-20 15:06:08.932000,trades,Buy Trade,IE00B3XXRP09,Vanguard S&P 500,EUR,EUR,EUREUR,1.0,-34.89,34.88993998,76.37,0.456854,0.0,,,Order Partial Id: 2fd72117-03c3-43ac-98c3-11ced8f53e1f - 2
2023-11-08 16:20:27.355000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,500.0,,,
2023-11-08 16:20:27.367000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,497.01,,,Period: 2023-10
2023-11-08 16:20:44.107000,trades,Buy Trade,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,-487.0,487.0,12.175,40.0,10.01,,,Order Partial Id: 3dac6c63-30fe-4262-99f5-5b8281dbfcad - 1
2023-11-08 16:20:44.108000,fees,Trading Fee,NL0011540547,ABN Amro,,EUR,,,-1.99,,,,8.02,,,Order Id: 3dac6c63-30fe-4262-99f5-5b8281dbfcad
2023-11-20 14:45:15.928000,dividends,Cash Dividend,US0378331005,Apple,USD,EUR,EURUSD,1.09544,0.55,,,,8.57,,,
2023-11-22 21:50:16.153000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,508.57,,,
2023-11-23 09:14:02.402000,trades,Buy Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,-506.58,506.579441,628.3,0.80627,1.99,,,Order Partial Id: c3ff1661-c79a-4f3f-a5e7-14faecf5c3a9 - 1
2023-11-23 09:14:02.403000,fees,Trading Fee,NL0010273215,ASML,,EUR,,,-1.99,,,,0.0,,,Order Id: c3ff1661-c79a-4f3f-a5e7-14faecf5c3a9
2023-12-05 07:12:58.935000,interest,Interest Payment,,,,EUR,,,0.05,,,,0.05,,,Period: 2023 M11
2023-12-20 15:42:32.051000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,10.81,,,,10.86,,,
2023-12-20 15:42:32.143000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,7.87,,,Period: 2023-11
2023-12-27 10:24:19.727000,dividends,Cash Dividend,IE00B3XXRP09,Vanguard S&P 500,USD,EUR,EURUSD,1.10777,1.62,,,,9.49,,,
2024-01-01 12:46:48.316000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,6.5,,,Period: 2023-12
2024-01-05 07:32:31.705000,interest,Interest Payment,,,,EUR,,,0.01,,,,6.51,,,Period: 2023 M12
2024-02-01 11:49:27.664000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,506.51,,,
2024-02-01 11:49:48.747000,fees,Trading Fee,NL0011821202,ING,,EUR,,,-1.99,,,,8.34,,,Order Id: fc72815e-cbe8-425a-8b54-34ca5a78a375
2024-02-01 11:49:48.747000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-496.18,496.182,12.102,41.0,10.33,,,Order Partial Id: fc72815e-cbe8-425a-8b54-34ca5a78a375 - 1
2024-02-01 11:49:48.748000,trades,Buy Trade,NL0011821202,ING,EUR,EUR,EUREUR,1.0,-8.34,8.33799965,12.102,0.688977,0.0,,,Order Partial Id: fc72815e-cbe8-425a-8b54-34ca5a78a375 - 2
2024-02-05 07:42:55.452000,interest,Interest Payment,,,,EUR,,,0.01,,,,0.01,,,Period: 2024 M1
2024-02-14 10:28:55.522000,dividends,Cash Dividend,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,0.98,,,,0.99,,,
2024-02-15 11:27:12.315000,dividends,Cash Dividend,US0378331005,Apple,USD,EUR,EURUSD,1.076,0.56,,,,1.55,,,
2024-03-25 11:34:01.499000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,11.09,,,,12.64,,,
2024-03-25 11:34:01.559000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,9.65,,,Period: 2024-01
2024-03-25 11:34:01.560000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,6.66,,,Period: 2024-02
2024-03-27 14:50:21.256000,dividends,Cash Dividend,US30303M1027,Meta Platforms,USD,EUR,EURUSD,1.08587,0.78,,,,7.44,,,
2024-03-27 14:56:16.202000,dividends,Cash Dividend,IE00B3XXRP09,Vanguard S&P 500,USD,EUR,EURUSD,1.08609,1.79,,,,9.23,,,
2024-04-01 13:02:30.349000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,6.24,,,Period: 2024-03
2024-04-05 08:00:12.373000,interest,Interest Payment,,,,EUR,,,0.01,,,,6.25,,,Period: 2024 M3
2024-04-23 09:46:47.646000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,506.25,,,
2024-04-23 09:47:05.360000,trades,Buy Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,-504.26,504.2597672,821.8,0.613604,1.99,,,Order Partial Id: 07a5f189-cf50-4783-a3da-00e3ab7db6fb - 1
2024-04-23 09:47:05.361000,fees,Trading Fee,NL0010273215,ASML,,EUR,,,-1.99,,,,0.0,,,Order Id: 07a5f189-cf50-4783-a3da-00e3ab7db6fb
2024-05-03 11:27:12.855000,dividends,Cash Dividend,NL0011821202,ING,EUR,EUR,EUREUR,1.0,101.78,,,,101.78,,,
2024-05-03 11:27:12.855000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,98.79,,,Period: 2024-04
2024-05-05 08:44:16.737000,interest,Interest Payment,,,,EUR,,,0.01,,,,98.8,,,Period: 2024 M4
2024-05-07 09:12:30.484000,dividends,Cash Dividend,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,2.1,,,,100.9,,,
2024-05-17 11:48:52.124000,dividends,Cash Dividend,US0378331005,Apple,USD,EUR,EURUSD,1.08695,0.58,,,,101.48,,,
2024-05-22 10:54:23.486000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,601.48,,,
2024-05-22 12:14:41.708000,trades,Buy Trade,FR001400J770,Air France-KLM,EUR,EUR,EUREUR,1.0,-590.24,590.24,10.54,56.0,11.24,,,Order Partial Id: 53fe7e6b-72f3-428c-998b-a8d6ffbd37ea - 1
2024-05-22 12:14:41.709000,fees,Trading Fee,FR001400J770,Air France-KLM,,EUR,,,-1.99,,,,7.47,,,Order Id: 53fe7e6b-72f3-428c-998b-a8d6ffbd37ea
2024-05-22 12:14:41.709000,tax,Financial Transaction Tax,FR001400J770,Air France-KLM,,EUR,,,-1.78,,,,9.46,,,
2024-05-27 11:11:23.572000,dividends,Cash Dividend,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,129.36,,,,136.83,,,
2024-06-01 19:46:34.549000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,133.84,,,Period: 2024-05
2024-06-05 08:14:51.752000,interest,Interest Payment,,,,EUR,,,0.19,,,,134.03,,,Period: 2024 M5
2024-06-05 16:00:10.492000,trades,Buy Trade,NL0011794037,Ahold,EUR,EUR,EUREUR,1.0,-114.88,114.88,28.72,4.0,19.15,,,Order Partial Id: c67582d3-46e8-43f9-8458-f14801a7e5ff - 1
2024-06-21 11:41:37.394000,dividends,Cash Dividend,NL0010773842,NN Group,EUR,EUR,EUREUR,1.0,29.31,,,,48.46,,,
2024-06-25 14:31:24.407000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,11.15,,,,59.61,,,
2024-06-26 13:19:07.172000,dividends,Cash Dividend,IE00B3XXRP09,Vanguard S&P 500,USD,EUR,EURUSD,1.07208,1.55,,,,61.16,,,
2024-06-26 13:27:43.344000,dividends,Cash Dividend,US30303M1027,Meta Platforms,USD,EUR,EURUSD,1.07245,0.79,,,,61.95,,,
2024-07-01 13:02:28.414000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,58.96,,,Period: 2024-06
2024-07-05 08:01:41.426000,interest,Interest Payment,,,,EUR,,,0.11,,,,59.07,,,Period: 2024 M6
2024-08-01 13:02:28.625000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,56.08,,,Period: 2024-07
2024-08-05 09:15:37.852000,interest,Interest Payment,,,,EUR,,,0.12,,,,56.2,,,Period: 2024 M7
2024-08-07 10:42:59.581000,dividends,Cash Dividend,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,1.82,,,,58.02,,,
2024-08-12 09:53:47.293000,dividends,Cash Dividend,NL0011821202,ING,EUR,EUR,EUREUR,1.0,47.12,,,,105.14,,,
2024-08-15 10:13:32.561000,dividends,Cash Dividend,US0378331005,Apple,USD,EUR,EURUSD,1.10389,0.57,,,,105.71,,,
2024-08-27 09:35:40.545000,dividends,Cash Dividend,NL0010773842,NN Group,EUR,EUR,EUREUR,1.0,18.03,,,,123.74,,,
2024-08-28 08:01:21.149000,withdrawals,Sepa Withdrawal,,,,EUR,,,-120.0,,,,3.74,,,
2024-08-29 10:42:28.136000,dividends,Cash Dividend,NL0011794037,Ahold,EUR,EUR,EUREUR,1.0,1.7,,,,5.44,,,
2024-09-02 09:32:09.696000,interest,Interest Payment,,,,EUR,,,0.16,,,,5.6,,,Period: 2024 M8
2024-09-02 12:04:51.886000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,2.61,,,Period: 2024-08
2024-09-03 18:32:11.689000,fees,Trading Fee,US88160R1014,Tesla,,EUR,,,-0.99,,,,1.62,,,Order Id: fc3c459d-5e8a-4588-982e-8a5bbbf1774b
2024-09-03 18:32:11.716000,trades,Sell Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.10715,388.75,430.4,215.2,2.0,390.37,-22.25,EUR,Order Partial Id: fc3c459d-5e8a-4588-982e-8a5bbbf1774b - 1
2024-09-03 18:32:11.745000,trades,Sell Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.10715,98.76,109.346348,215.2,0.508115,489.13,-5.66,EUR,Order Partial Id: fc3c459d-5e8a-4588-982e-8a5bbbf1774b - 2
2024-09-03 18:32:40.631000,withdrawals,Sepa Withdrawal,,,,EUR,,,-155.0,,,,334.13,,,
2024-09-04 11:16:35.871000,trades,Buy Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,-332.14,332.1398732,741.2,0.448111,1.99,,,Order Partial Id: 86345c6b-b61e-4d3b-a042-986c8e6a041f - 1
2024-09-04 11:16:35.872000,fees,Trading Fee,NL0010273215,ASML,,EUR,,,-1.99,,,,0.0,,,Order Id: 86345c6b-b61e-4d3b-a042-986c8e6a041f
2024-09-11 14:59:58.061000,dividends,Cash Dividend,NL0011540547,ABN Amro,EUR,EUR,EUREUR,1.0,87.21,,,,87.21,,,
2024-09-24 10:39:26.062000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,10.93,,,,98.14,,,
2024-09-25 11:54:38.530000,dividends,Cash Dividend,IE00B3XXRP09,Vanguard S&P 500,USD,EUR,EURUSD,1.1219,1.63,,,,99.77,,,
2024-09-26 12:02:36.218000,dividends,Cash Dividend,US30303M1027,Meta Platforms,USD,EUR,EURUSD,1.1166,0.76,,,,100.53,,,
2024-09-27 14:08:18.837000,deposits,Sepa Deposit,,,,EUR,,,275.0,,,,375.53,,,
2024-09-27 14:08:36.782000,trades,Buy Trade,NL0009739416,PostNL,EUR,EUR,EUREUR,1.0,-371.32,371.322,1.263,294.0,4.21,,,Order Partial Id: c5de9fe4-5eff-4906-80c0-331817a044cf - 1
2024-09-27 14:08:36.783000,fees,Trading Fee,NL0009739416,PostNL,,EUR,,,-1.99,,,,2.22,,,Order Id: c5de9fe4-5eff-4906-80c0-331817a044cf
2024-09-27 14:08:36.949000,trades,Buy Trade,NL0009739416,PostNL,EUR,EUR,EUREUR,1.0,-2.22,2.21799977,1.263,1.756136,0.0,,,Order Partial Id: c5de9fe4-5eff-4906-80c0-331817a044cf - 2
2024-10-07 08:26:09.688000,interest,Interest Payment,,,,EUR,,,0.13,,,,0.13,,,Period: 2024 M9
2024-11-07 10:57:25.577000,dividends,Cash Dividend,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,2.4,,,,2.53,,,
2024-11-14 11:24:04.253000,dividends,Cash Dividend,US0378331005,Apple,USD,EUR,EURUSD,1.05449,0.6,,,,3.13,,,
2024-11-14 11:24:04.254000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,0.14,,,Period: 2024-09
2024-11-18 15:33:52.106000,trades,Sell Trade,US0231351067,Amazon.com,USD,EUR,EURUSD,1.05927,383.64,406.38,203.19,2.0,383.78,125.87,EUR,Order Partial Id: dc03bb9e-798f-45aa-9c32-fe6905ced383 - 1
2024-11-18 15:33:52.107000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,380.79,,,Period: 2024-10
2024-11-18 15:33:52.108000,fees,Trading Fee,US0231351067,Amazon.com,,EUR,,,-0.99,,,,379.8,,,Order Id: dc03bb9e-798f-45aa-9c32-fe6905ced383
